Ticker,Name,ISIN,URL,KGV_1,KUV_1,Datum_1,KGV_2,KUV_2,Datum_2
1U1,,,https://www.boerse.de/aktien/1-1/DE0005545503,18.44,0.96,2026-02-27,N/A,N/A,2026-02-28
TGT,,,https://www.boerse.de/aktien/11-88-0-solutions/DE0005118806,N/A,N/A,2026-02-27,N/A,N/A,2026-02-28
UUU,,,https://www.boerse.de/aktien/3u-holding/DE0005167902,55.00,0.73,2026-02-27,N/A,N/A,2026-02-28
ADN1,,,https://www.boerse.de/aktien/adesso-se/DE000A0Z23Q5,50.40,0.32,2026-02-27,N/A,N/A,2026-02-28
ADS,,,https://www.boerse.de/aktien/adidas-ag-na/DE000A1EWWW0,37.86,1.22,2026-02-27,N/A,N/A,2026-02-28
AIXA,,,https://www.boerse.de/aktien/aixtron-se-na/DE000A0WMPJ6,25.77,4.34,2026-02-27,N/A,N/A,2026-02-28
A1OS,,,https://www.boerse.de/aktien/all-for-one-group-na/DE0005110001,N/A,N/A,2026-02-27,N/A,N/A,2026-02-28
LNSX,,,https://www.boerse.de/aktien/allane/DE000A0DPRE6,N/A,N/A,2026-02-27,N/A,N/A,2026-02-28
ALV,,,https://www.boerse.de/aktien/allianz-se-na/DE0008404005,N/A,N/A,2026-02-27,N/A,N/A,2026-02-28
ACT,,,https://www.boerse.de/aktien/alzchem-group-ag/DE000A2YNT30,N/A,N/A,2026-02-27,23.20,N/A,2026-02-28
AAD,,,https://www.boerse.de/aktien/amadeus-fire/DE0005093108,N/A,N/A,2026-02-27,15.03,N/A,2026-02-28
ELB,,,https://www.boerse.de/aktien/elumeo/DE000A11Q059,N/A,N/A,2026-02-27,19.30,N/A,2026-02-28
AOF,,,https://www.boerse.de/aktien/atoss-software/DE0005104400,70.85,14.60,2026-02-27,23.37,7.40,2026-02-28
AAG,,,https://www.boerse.de/aktien/aumann-ag/DE000A2DAM03,N/A,N/A,2026-02-27,18.97,0.69,2026-02-28
AMV0,,,https://www.boerse.de/aktien/aumovio/DE000AUM0V10,N/A,N/A,2026-02-27,10.61,0.22,2026-02-28
NDA,,,https://www.boerse.de/aktien/aurubis/DE0006766504,9.64,0.17,2026-02-27,18.39,0.39,2026-02-28
AG1,,,https://www.boerse.de/aktien/auto1-group/DE000A2LQ884,N/A,N/A,2026-02-27,18.03,0.49,2026-02-28
BAS,,,https://www.boerse.de/aktien/basf-se-na/DE000BASF111,N/A,N/A,2026-02-27,15.04,0.68,2026-02-28
BSL,,,https://www.boerse.de/aktien/basler-ag/DE0005102008,N/A,N/A,2026-02-27,28.00,2.24,2026-02-28
BST,,,https://www.boerse.de/aktien/bastei-luebbe-ag/DE000A1X3YY0,N/A,N/A,2026-02-27,8.73,0.79,2026-02-28
BMW3,,,https://www.boerse.de/aktien/bay-motoren-werke/DE0005190037,N/A,N/A,2026-02-27,7.81,0.43,2026-02-28
BMW,,,https://www.boerse.de/aktien/bay-motoren-werke-ag/DE0005190003,7.77,0.4,2026-02-25,8.09,0.40,2026-02-28
BAYN,,,https://www.boerse.de/aktien/bayer-ag-na/DE000BAY0017,N/A,N/A,2026-02-27,9.17,0.90,2026-02-28
BYW,,,https://www.boerse.de/aktien/baywa-ag-na/DE0005194005,N/A,N/A,2026-02-27,-4.49,0.06,2026-02-28
